;"Day";"DJIA.Close";"N225.Close";"SSMI.Close"
1998-01-05;1998-01-05;7978,990234;14956,839844;6397
1998-01-06;1998-01-06;7906,25;14896,400391;6375,700195
1998-01-07;1998-01-07;7902,27002;15028,169922;6390
1998-01-08;1998-01-08;7802,620117;15019,179688;6330,200195
1998-01-09;1998-01-09;7580,419922;14995,099609;6251,799805
1998-01-12;1998-01-12;7647,180176;14664,44043;6062,100098
1998-01-13;1998-01-13;7732,129883;14755,94043;6169,299805
1998-01-14;1998-01-14;7784,689941;15121,980469;6149,799805
1998-01-16;1998-01-16;7753,549805;16046,450195;6274
1998-01-20;1998-01-20;7873,120117;16366,530273;6397,5
1998-01-21;1998-01-21;7794,399902;16684,419922;6391,399902
1998-01-22;1998-01-22;7730,879883;16405,689453;6356,100098
1998-01-23;1998-01-23;7700,740234;16789,109375;6391
1998-01-26;1998-01-26;7712,939941;17073,330078;6411
1998-01-27;1998-01-27;7815,080078;16981,619141;6424
1998-01-28;1998-01-28;7915,470215;16973,830078;6508,700195
1998-01-29;1998-01-29;7973,02002;17014,589844;6530,399902
1998-01-30;1998-01-30;7906,5;16628,470703;6582,600098
1998-02-02;1998-02-02;8107,779785;16776,820313;6688
1998-02-03;1998-02-03;8160,350098;17022,980469;6720,700195
1998-02-04;1998-02-04;8129,709961;16882,619141;6708,899902
1998-02-05;1998-02-05;8117,25;17003,300781;6772
1998-02-06;1998-02-06;8189,490234;17040,060547;6857,100098
1998-02-09;1998-02-09;8180,52002;17205;6828,399902
1998-02-10;1998-02-10;8295,610352;17205,089844;6860,799805
1998-02-12;1998-02-12;8369,599609;17174,929688;6856
1998-02-13;1998-02-13;8370,099609;16791,009766;6898,899902
1998-02-17;1998-02-17;8398,5;16790,710938;6990,5
1998-02-18;1998-02-18;8451,05957;16613,890625;6966,200195
1998-02-19;1998-02-19;8375,580078;16616,480469;6953,200195
1998-02-20;1998-02-20;8413,94043;16756,240234;6986,700195
1998-02-23;1998-02-23;8410,200195;16609,490234;6986,100098
1998-02-24;1998-02-24;8370,099609;16198;6945
1998-02-25;1998-02-25;8457,780273;16360,639648;7065,399902
1998-02-26;1998-02-26;8490,669922;16501,699219;7118,600098
1998-02-27;1998-02-27;8545,719727;16831,669922;7153,100098
1998-03-02;1998-03-02;8550,450195;17264,339844;7273
1998-03-03;1998-03-03;8584,830078;17168,330078;7259,5
1998-03-04;1998-03-04;8539,240234;17095,599609;7130,5
1998-03-05;1998-03-05;8444,330078;16848,550781;7077,299805
1998-03-06;1998-03-06;8569,389648;17131,970703;7197,200195
1998-03-09;1998-03-09;8567,139648;16972,529297;7187,5
1998-03-10;1998-03-10;8643,120117;16982,820313;7246,5
1998-03-11;1998-03-11;8675,75;16756,140625;7276,700195
1998-03-12;1998-03-12;8659,55957;16575,220703;7267,899902
1998-03-13;1998-03-13;8602,519531;17060,140625;7328
1998-03-16;1998-03-16;8718,849609;16861,140625;7261,200195
1998-03-17;1998-03-17;8749,990234;16997,199219;7236,5
1998-03-18;1998-03-18;8775,400391;16619,679688;7132,399902
1998-03-19;1998-03-19;8803,049805;16679,019531;7143,799805
1998-03-20;1998-03-20;8906,429688;16830,470703;7300,5
1998-03-23;1998-03-23;8816,25;16868,830078;7341
1998-03-24;1998-03-24;8904,44043;16606,390625;7407,399902
1998-03-25;1998-03-25;8872,799805;16658,339844;7472,100098
1998-03-26;1998-03-26;8846,889648;16980,619141;7415,899902
1998-03-27;1998-03-27;8796,080078;16739,259766;7530,299805
1998-03-30;1998-03-30;8782,120117;16263,040039;7536,299805
1998-03-31;1998-03-31;8799,80957;16527,169922;7585,5
1998-04-01;1998-04-01;8868,320313;16241,660156;7615,5
1998-04-02;1998-04-02;8986,639648;15702,900391;7638,799805
1998-04-03;1998-04-03;8983,410156;15517,780273;7725,899902
1998-04-06;1998-04-06;9033,230469;15705,990234;7827,700195
1998-04-07;1998-04-07;8956,5;15978,719727;7744,299805
1998-04-08;1998-04-08;8891,480469;16376,620117;7588,100098
1998-04-09;1998-04-09;8994,860352;16536,660156;7624,100098
1998-04-14;1998-04-14;9110,200195;16277,320313;7662,899902
1998-04-15;1998-04-15;9162,269531;16299,299805;7616,299805
